evar69,evar66,product,units,segment.id,segment.name
43548,50045563,Hand-blown Glass Tumbler Cornflower,6,,
43550,50042808,National Trust Robert Gillmor Wildlife Prints Calendar 2020,1,,
43551,50042547,Felt Dove Tree Topper,1,,
43553,30082859,National Trust Ladies Leather Gloves Grey,1,,
43553,50006194,National Trust Leather Gloves Navy,4,,
43553,50030660,Cloche Hat With Knot Detail Grey,1,,
43554,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,1,,
43554,50042793,National Trust Winter Woolies Christmas Cards Pack of 10,1,,
43554,50042803,National Trust Mistletoe Hare Christmas Cards Pack of 10,1,,
43554,50042806,National Trust Large Value Pack Christmas Cards Pack of 30,1,,
43555,30089323,The Original Den Kit,1,,
43556,50038610,William Morris Placemats Set of 6 Mixed Designs,1,,
43556,50038611,William Morris Coaster Set of 6 Mixed Designs,1,,
43556,50045561,National Trust Knightshayes Floral Trail Tea Towel,1,,
43557,30094808,National Trust Illusion Throw Duck Egg,1,,
43557,50031185,National Trust Herringbone Throw Petrol Blue,1,,
43558,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,1,,
43558,50030419,Beco Pets Dog Toy Orange Flyer,1,,
43558,50042801,National Trust Stag in a Snowstorm Christmas Cards Pack of 10,1,,
43559,50042798,National Trust Slim Chart Diary 2020,1,,
43559,50043333,National Trust Woodland Animals Advent Calendar,2,,
43559,50043339,National Trust Gardens Calendar 2020,3,,
43560,30076080,Bird Cage Tea Light Lantern,2,,
43560,50042379,National Trust Lucy Grossmith Magnetic Shopper Pad Winter Birds,1,,
43560,50042535,National Trust Sheep In Snow Christmas Cards Pack of 10,1,,
43560,50042830,Tealight Holder Silver and Gold,1,,
43560,50043922,National Trust Wild Fig Fragranced Boxed Candle,2,,
43561,50029556,Brockhampton Damson Fruit Vinegar,1,,
43561,50031259,Ceramic Windowsill Herb Kit,2,,
43561,50038522,Outdoor Slate Thermometer,1,,
43561,50038887,National Trust Garden Notecards pack of 8,2,,
43561,50042386,National Trust Rachel McNaughton Magnetic Shopper Pad Geese,1,,
43562,50036971,National Trust Leather Cross Body Bag Brown,1,,
43563,30077515,National Trust Trio Walking Stick Seat Charcoal,1,,
43564,50028390,Outdoor Gothic Metal Mirror,1,,
43565,30072523,Gothic Stone Garden Mirror,1,,
43566,30056972,National Trust Illusion Throw Grey,1,,
43566,50031496,National Trust Tea Towel Green,2,,
43566,50042377,National Trust Lucy Grossmith Winter Birds Notecards Pack of 20,1,,
43566,50043569,Orange and Ginger Christmas Marmalade,1,,
43566,50043571,National Trust St Clements Curd,1,,
43567,50039003,Robin Balancing Plant Stake,1,,
43568,50024292,National Trust Northumberland Cotton Tea Towel,1,,
43569,50021839,National Trust Waterscapes Notecards pack of 8,1,,
43569,50042380,National Trust Annie Soudain Notecards Pack of 20,2,,
43569,50042384,National Trust Lucy Grossmith Wildlife Notecards Pack of 20,1,,
43570,30047378,Upright Heron Sculpture,1,,
43571,50006506,Feather Robin on Clip Christmas Decoration,10,,
43571,50022759,Bees Wraps Set of 3,2,,
43571,50031155,Silver Tree Tealight Holder Small,2,,
43571,50031156,Silver Tree Tealight Holder Large,15,,
43572,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,1,,
43573,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,9,,
43574,50031495,National Trust Double Oven Glove Blue,1,,
43574,50043571,National Trust St Clements Curd,1,,
43574,50043579,National Trust Christmas Mead 750ml,3,,
43574,50043595,National Trust Christmas Day Pickle,2,,
43574,50044644,National Trust Christmas Condiment Collection,1,,
43575,50039003,Robin Balancing Plant Stake,1,,
43576,50042793,National Trust Winter Woolies Christmas Cards Pack of 10,2,,
43576,50042796,National Trust Berries and Foliage Christmas Cards Pack of 10,1,,
43576,50042798,National Trust Slim Chart Diary 2020,1,,
43576,50042802,National Trust Robin Christmas Cards Pack of 10,1,,
43577,30087056,National Trust Bronze Frith Sculpture Holly Hedgehog,1,,
43578,50002573,Cheese and Chive Nibbles,2,,
43578,50033151,Duo Pack Biscuits: Chocolate and Hazelnut / Orange and Almond,1,,
43578,50033152,Duo Pack Biscuits: White Chocolate and Raspberry / Oat and Apple Crumble,1,,
43578,50033529,National Trust Stem Ginger Biscuits,2,,
43578,50033530,Chocolate Brownie Biscuits,4,,
43578,50043720,National Trust Biscuits and Christmas Pickle Gift Set,1,,
43578,50043731,National Trust Exclusive Christmas Biscuit Tin,1,,
43579,50042793,National Trust Winter Woolies Christmas Cards Pack of 10,2,,
43579,50042797,National Trust Moonlit Hare Christmas Cards Pack of 10,3,,
43579,50042803,National Trust Mistletoe Hare Christmas Cards Pack of 10,3,,
43580,30055495,William Morris Hare Cushion,1,,
43580,30059806,Beatrix Potter Tailor of Gloucester Cushion,1,,
43580,30076217,Tall Nest Pocket,1,,
43580,50025363,William Morris Lily Ecoffee cup,1,,
43580,50031159,Wooden Advent Calendar Natural,1,,
43581,50038522,Outdoor Slate Thermometer,1,,
43582,50032351,National Trust Touring Pass - Admit Two 7 Days,1,,
43583,50023680,National Trust Ladybird Tower,1,,
43583,50034713,National Trust Somerset Mug,1,,
43583,50041336,National Trust Regional Mug Devon,1,,
43583,50042532,National Trust Rachel McNaughton Animal Notecards Pack of 20,1,,
43583,50042817,National Trust Family Organiser 2020,1,,
43583,50043336,National Trust Engagement Diary 2020,1,,
43583,50043579,National Trust Christmas Mead 750ml,1,,
43584,50008362,National Trust Fishbone Throw Seafoam Green,1,,
43585,50023111,Wooden Tree Swing Seat,1,,
43587,50032343,Young Person Annual Gift Membership (aged 18-25),1,,
43588,50042793,National Trust Winter Woolies Christmas Cards Pack of 10,1,,
43588,50042806,National Trust Large Value Pack Christmas Cards Pack of 30,1,,
43591,30095231,National Trust Flat Panel LED Light,1,,
43591,50031155,Silver Tree Tealight Holder Small,2,,
43591,50036904,National Trust Prolight LED Torch Silver,1,,
43591,50042380,National Trust Annie Soudain Notecards Pack of 20,1,,
43591,50042830,Tealight Holder Silver and Gold,1,,
43591,50043457,Star Cookie Cutter Stainless Steel,1,,
43591,50045159,Pre Pack Combination 25 Spring Bulbs Pack 2,1,,
43593,50045568,Wooden Woodland Advent Calendar,1,,
43594,30076643,Children's Fun Sticky Slug,3,,
43594,50024727,National Trust Nature Origami,1,,
43594,50036809,Let's Go Fishing! Game,1,,
43594,50049736,Someone Swallowed Stanley,1,,
43595,50042806,National Trust Large Value Pack Christmas Cards Pack of 30,2,,
43597,50031304,Wool Mouse Nativity Set,1,,
43598,30087056,National Trust Bronze Frith Sculpture Holly Hedgehog,1,,
43599,50031159,Wooden Advent Calendar Natural,1,,
43600,50042817,National Trust Family Organiser 2020,1,,
43601,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,1,,
43601,50028820,National Trust Moonlit Owl Christmas Cards Pack of 10,1,,
43601,50028830,National Trust Birds on Branches Christmas Cards Pack of 10,1,,
43601,50029515,National Trust Three Robins Christmas Card Pack 10,2,,
43601,50042803,National Trust Mistletoe Hare Christmas Cards Pack of 10,1,,
43601,50042815,National Trust Midnight Sky Tissue Paper,1,,
43601,50042826,Reindeer Garland,1,,
43601,50043333,National Trust Woodland Animals Advent Calendar,2,,
43602,30019858,National Trust Recycled Woollen Rug,4,,
43603,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,5,,
43603,50028820,National Trust Moonlit Owl Christmas Cards Pack of 10,6,,
43604,50031159,Wooden Advent Calendar Natural,1,,
43605,50037394,National Trust Reed Diffuser Fig and Oakmoss,4,,
43605,50037397,National Trust Fragranced Gel Candle Fig and Oakmoss,2,,
43606,50003055,Mindful Thoughts For Cyclists,1,,
43606,50042793,National Trust Winter Woolies Christmas Cards Pack of 10,1,,
43606,50042817,National Trust Family Organiser 2020,1,,
43606,50042835,Christmas At The Warren Ornament Wooden,1,,
43607,50031159,Wooden Advent Calendar Natural,1,,
43608,50031304,Wool Mouse Nativity Set,2,,
